Step,Loss_train
174,3.8462889988878186e-05
175,3.813549280321772e-05
176,3.818953279776319e-05
177,3.7996275136910224e-05
178,3.800996751947689e-05
179,3.770138968685491e-05
180,3.7499967528798596e-05
181,3.754702366553383e-05
182,3.726177629297154e-05
183,3.7250667001395126e-05
184,3.7208898694723525e-05
185,3.66141837218789e-05
186,3.6935248017395166e-05
187,3.7003828945463817e-05
188,3.6634025910646216e-05
189,3.6696359591177265e-05
190,3.656560196985002e-05
191,3.637634330589917e-05
192,3.621957812939098e-05
193,3.629179895785929e-05
194,3.6023662083926845e-05
195,3.6011808404504726e-05
196,3.583654539843565e-05
197,3.596824153089243e-05
198,3.545570451424384e-05
199,3.554023355604524e-05
200,3.5531265478471586e-05
201,3.549145873209827e-05
202,3.530551154215669e-05
203,3.526050023388648e-05
204,3.5467325727200194e-05
205,3.527655175197332e-05
206,3.5033027555258146e-05
207,3.531566400920573e-05
208,3.4931346093201334e-05
209,3.482206548433473e-05
210,3.4502623911038755e-05
211,3.455044120807003e-05
212,3.4555393515024525e-05
213,3.4403861134650216e-05
214,3.433563420396017e-05
215,3.415294126776406e-05
216,3.428151153026613e-05
217,3.4273211360647356e-05
218,3.427030508932842e-05
219,3.395979716011136e-05
220,3.399851467447585e-05
221,3.400669975818044e-05
222,3.3867929399227825e-05
223,3.3705591669512765e-05
224,3.357293207689073e-05
225,3.360915651743974e-05
226,3.360642110952099e-05
227,3.356684231127416e-05
228,3.3482888852315056e-05
229,3.357731865597337e-05
230,3.315189776350613e-05
231,3.325136451412795e-05
232,3.3291627962379074e-05
233,3.304985922660918e-05
234,3.3017789162785195e-05
235,3.298147597176712e-05
236,3.2976671552704597e-05
237,3.30417092673873e-05
238,3.284487597054895e-05
239,3.292267824069812e-05
240,3.261135998083601e-05
241,3.2736053885716316e-05
242,3.250808882717708e-05
243,3.2521432284254815e-05
244,3.242147652189257e-05
245,3.240698921118896e-05
246,3.22748839213866e-05
247,3.230965064776835e-05
248,3.2188551450394636e-05
249,3.22110995341043e-05
250,3.2029755187911704e-05
251,3.212879517081178e-05
252,3.2013360412210635e-05
253,3.2076475978876595e-05
254,3.208644373046513e-05
255,3.207680026883947e-05
256,3.212544187904681e-05
257,3.189696541911033e-05
258,3.206612144059873e-05
259,3.173851017977274e-05
260,3.1670337630659006e-05
261,3.1790016679290076e-05
262,3.166330031660099e-05
263,3.152126238259229e-05
264,3.144709878983841e-05
265,3.147590375058251e-05
266,3.14486105910729e-05
267,3.1347617335930025e-05
268,3.134025898924287e-05
269,3.122447790886638e-05
270,3.092203845929293e-05
271,3.101451948688037e-05
272,3.112258058305559e-05
273,3.106841457599247e-05
274,3.104337162227862e-05
275,3.112869375359361e-05
276,3.098410751233352e-05
277,3.0865750915866946e-05
278,3.067215477161359e-05
279,3.0664254442719874e-05
280,3.0379041112873612e-05
281,3.069967203416449e-05
282,3.043738574204245e-05
283,3.0510737726678565e-05
284,3.0398318153286945e-05
285,3.033343673362203e-05
286,3.0257968817795826e-05
287,3.0307727353365637e-05
288,3.0217321491211686e-05
289,2.9809258999915866e-05
290,3.0010670655715115e-05
291,3.013455156606826e-05
292,3.031383922616366e-05
293,3.0016451166532263e-05
294,2.9902033611252998e-05
295,2.981124634147552e-05
296,2.991840308577416e-05
297,2.97841677923146e-05
298,2.9687125913539265e-05
299,2.9660171237430056e-05
300,2.952217277283769e-05
301,2.9603349073891108e-05
302,2.9514659573277206e-05
303,2.956510595791658e-05
304,2.9373818576097322e-05
305,2.9327231244612972e-05
306,2.9406870156343145e-05
307,2.9124471491558728e-05
308,2.9342634405714262e-05
309,2.9219776390625122e-05
310,2.928733379261033e-05
311,2.909045879138645e-05
312,2.9180371754280153e-05
313,2.8916144848738854e-05
314,2.8951814037072255e-05
315,2.8930620873094557e-05
316,2.880638945007022e-05
317,2.8873702165046297e-05
318,2.879553446676617e-05
319,2.8736145100526725e-05
320,2.8777980774408247e-05
321,2.8859102766720934e-05
322,2.8578053266391077e-05
323,2.8584704120569826e-05
324,2.85445957056976e-05
325,2.8567885761011815e-05
326,2.8517909020182513e-05
327,2.846690467479404e-05
328,2.8504046943701707e-05
329,2.8381610099395122e-05
330,2.849961075187309e-05
331,2.854201189616853e-05
332,2.8534921079311297e-05
333,2.8250158972207277e-05
334,2.8221872928542096e-05
335,2.8324378739242722e-05
336,2.833814563355621e-05
337,2.8181674279571742e-05
338,2.8416183917897165e-05
339,2.821513795877049e-05
340,2.8571543565980046e-05
341,2.8429026142057765e-05
342,2.8184243496017647e-05
343,2.836165637750647e-05
344,2.8155166894666914e-05
345,2.8331654739291545e-05
346,2.835965268214271e-05
347,2.828743619689161e-05
348,2.8235893034160804e-05
349,2.8266902072978777e-05
350,2.8195771501600893e-05
351,2.8207532861927278e-05
352,2.8226516396176637e-05
353,2.8132073814624448e-05
354,2.8391084151165396e-05
355,2.8302726219638754e-05
356,2.82215340179452e-05
357,2.8234235626054656e-05
358,2.812063272025357e-05
359,2.8040605510020788e-05
360,2.8160771794787542e-05
361,2.8090770819946053e-05
362,2.8033941888398484e-05
363,2.800415097617917e-05
364,2.8129311747300596e-05
365,2.7835545644232407e-05
366,2.781185053126565e-05
367,2.7680154151801258e-05
368,2.7862420644868962e-05
369,2.7926592885723494e-05
370,2.7759966089198267e-05
371,2.7798157573931266e-05
372,2.7952261349485306e-05
373,2.7657855038782764e-05
374,2.748005248663237e-05
375,2.774664687908461e-05
376,2.752494663570783e-05
377,2.763700491802935e-05
378,2.7467380522920038e-05
379,2.7725270149498518e-05
380,2.7445287220445638e-05
381,2.7491866357294053e-05
382,2.724936294456113e-05
383,2.750433989947339e-05
384,2.7282745190416366e-05
385,2.737025654103055e-05
386,2.7245810148229783e-05
387,2.7158865815627225e-05
388,2.717304933356644e-05
389,2.7353840251599653e-05
390,2.7267489663232547e-05
391,2.7284045713371556e-05
392,2.7160141058619826e-05
393,2.7046376065789086e-05
394,2.7004408267851514e-05
395,2.7061018753782182e-05
396,2.6974776699610636e-05
397,2.6993083281626326e-05
398,2.689422029963229e-05
399,2.6921947627275093e-05
400,2.683008618598636e-05
401,2.6824969970796075e-05
402,2.6858954419630838e-05
403,2.678813897676677e-05
404,2.691881546020961e-05
405,2.6795970245815053e-05
406,2.675593090187193e-05
407,2.6874931006057923e-05
408,2.6698589060913967e-05
409,2.6745967542902136e-05
410,2.662421593730132e-05
411,2.6628766948402562e-05
412,2.650762011117702e-05
413,2.655275898462942e-05
414,2.651396494730612e-05
415,2.6559360222578757e-05
416,2.6442031825706352e-05
417,2.654997697144074e-05
418,2.6445860575143934e-05
419,2.6493273762018543e-05
420,2.640106540455281e-05
421,2.6434580534487522e-05
422,2.6418508022970222e-05
423,2.630224739124493e-05
424,2.624203171676793e-05
425,2.6268342547580656e-05
426,2.624476278336952e-05
427,2.6293436207840862e-05
428,2.6128462036341012e-05
429,2.6245555597691295e-05
430,2.6013239856609258e-05
431,2.6122806756800773e-05
432,2.611292454299894e-05
433,2.6127465603509377e-05
434,2.6044653820709023e-05
435,2.5972093166765618e-05
436,2.6001440939408518e-05
437,2.5933654089517264e-05
438,2.6003450305497075e-05
439,2.5895830540359186e-05
440,2.5904118858679312e-05
441,2.5994921373260045e-05
442,2.5794973949145628e-05
443,2.5753976327763677e-05
444,2.5794572371767035e-05
445,2.5881615510898633e-05
446,2.5709809078711523e-05
447,2.5738611747984985e-05
448,2.579967537490006e-05
449,2.572603435018764e-05
450,2.5573150968952164e-05
451,2.5619110415315332e-05
452,2.5689765386199533e-05
453,2.5588407852461124e-05
454,2.5733042731420466e-05
455,2.5576724028141444e-05
456,2.5546308645839557e-05
457,2.541317296409211e-05
458,2.5467416011880006e-05
459,2.546326702118768e-05
460,2.562541704886684e-05
461,2.5513465995400644e-05
462,2.5295742051459665e-05
463,2.5440243302149925e-05
464,2.524496598987469e-05
465,2.5279893519796526e-05
466,2.5293146184158914e-05
467,2.532169074440952e-05
468,2.5079426607635595e-05
469,2.5201092462959833e-05
470,2.520183258992419e-05
471,2.52257654841372e-05
472,2.5103851877326042e-05
473,2.4990331637373125e-05
474,2.5209286682779382e-05
475,2.49547975175532e-05
476,2.5151634646176324e-05
477,2.4872030732256558e-05
478,2.492706040334206e-05
479,2.5006800976755947e-05
480,2.4904016730522567e-05
481,2.494674671795457e-05
482,2.4883295594928443e-05
483,2.4895223360167582e-05
484,2.490543071674192e-05
485,2.4923169933668623e-05
486,2.4928734424926984e-05
487,2.4842714119624163e-05
488,2.4835422572662773e-05
489,2.4765627768743155e-05
490,2.493938854132266e-05
491,2.48647745257512e-05
492,2.468075932264631e-05
493,2.4949341587091218e-05
494,2.4743319216550366e-05
495,2.4734889062658167e-05
496,2.474733913911418e-05
497,2.47581691546986e-05
498,2.4501493445455698e-05
499,2.4706088033451927e-05
500,2.4515107216265832e-05
501,2.4532831536733355e-05
502,2.453438088787532e-05
503,2.4577193771062582e-05
504,2.4669231252144394e-05
505,2.4588937135617583e-05
506,2.441281435937949e-05
507,2.4570294586829076e-05
508,2.4326766567512735e-05
509,2.4475791427926262e-05
510,2.4477988680989755e-05
511,2.447687822976018e-05
512,2.433060395398322e-05
513,2.424297716531067e-05
514,2.417750170500116e-05
515,2.4295192688783614e-05
516,2.4290766138168853e-05
517,2.416025365986479e-05
518,2.4365403479175985e-05
519,2.4045078583851673e-05
520,2.4226148645506136e-05
521,2.4104923159156237e-05
522,2.397143017836174e-05
523,2.4176196301112183e-05
524,2.4188184796656662e-05
525,2.4013783178339803e-05
526,2.3961424176377477e-05
527,2.4126699147732793e-05
528,2.40649134399763e-05
529,2.3836314214088898e-05
530,2.402582744123664e-05
531,2.38535464181203e-05
532,2.380449565563421e-05
533,2.3926885784784135e-05
534,2.383942444592823e-05
535,2.364129419539472e-05
536,2.3651810866620327e-05
537,2.3938681807879e-05
538,2.3581323956866595e-05
539,2.3822367998897858e-05
540,2.3674744139386745e-05
541,2.3744210639786434e-05
542,2.3659004515280675e-05
543,2.3821884007745533e-05
544,2.3554514625737632e-05
545,2.3551331484850886e-05
546,2.3432875935234084e-05
547,2.3417960361462636e-05
548,2.367835621057857e-05
549,2.3353483399981778e-05
550,2.3492357555967268e-05
551,2.3426118157792763e-05
552,2.3393830723468345e-05
553,2.3454611670753174e-05
554,2.344883563584066e-05
555,2.3322804966288018e-05
556,2.3261731888481623e-05
557,2.3315215042045836e-05
558,2.3185512518808578e-05
559,2.3315620303321318e-05
560,2.3138061803877165e-05
